,GSV_ID,SBI,SLI,SVI,TFI,PSI,SI,GVI,SAI,AI,EPI
204,7pjXJdDpMR21XY8zUw7GYg,0.04,0.0,0.0,0.05,0.06,0.25,0.24,0.0,8.31,1.21
205,7PmIhLJLb0keMQS27yICYA,0.02,0.0,0.0,0.19,0.02,0.06,0.04,0.0,9.39,3.96
206,7pQ3w6M7Q5-CkqO62WjcTQ,0.03,0.0,0.0,0.01,0.13,0.16,0.01,0.0,11.2,1.5
207,7qSqq07taAnxD07QJ8-BFQ,0.08,0.0,0.0,0.03,0.05,0.13,0.38,0.0,2.74,2.41
208,7QY0myaGs6KlSTPVbj4NwA,0.01,0.0,0.0,0.03,0.15,0.09,0.01,0.0,60.83,1.04
209,7rmWgvf0VGDl3aKld5br9Q,0.02,0.0,0.0,0.02,0.1,0.2,0.13,0.0,11.82,1.74
210,7Tg-QJlgfjDqybi-y4vFCA,0.02,0.0,0.0,0.02,0.01,0.26,0.28,0.0,13.44,1.34
211,7TSGxGCcMiGDz-eCm7horQ,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.0,378.63,1.07
212,7wf4CQKx7Odlibv5guGxZg,0.02,0.0,0.0,0.11,0.11,0.03,0.11,0.0,12.67,2.83
213,7yi_QzP7NzyHjtuwV3IJJw,0.05,0.0,0.0,0.01,0.06,0.32,0.03,0.0,7.28,0.77
214,7_zSP40X33mjuJoAvoNzTA,0.02,0.0,0.0,0.05,0.03,0.25,0.44,0.0,13.34,1.96
215,8-fo4ztU2YYCh572mk0buA,0.02,0.0,0.0,0.02,0.07,0.11,0.12,0.0,15.18,1.3
216,81OnuFBODLM3LNlcogbczg,0.0,0.0,0.0,0.01,0.1,0.14,0.02,0.0,236.12,1.34
217,87CtDrwWGEbERp1pvy22vw,0.12,0.0,0.0,0.0,0.0,0.37,0.17,0.0,2.3,1.1
218,88SbKpaAsvkoZZJm2koEwQ,0.01,0.0,0.0,0.07,0.06,0.22,0.19,0.0,62.55,1.08
219,890mSe0FqIcc2YDlSJBAwA,0.02,0.0,0.0,0.05,0.07,0.09,0.24,0.0,23.79,1.34
220,8b1qweN_OdDooCD_COMJXg,0.04,0.0,0.0,0.06,0.08,0.04,0.37,0.0,7.71,1.86
221,8bRamoSVNPtwnSkrYLy6Qg,0.0,0.0,0.0,0.11,0.06,0.07,0.1,0.0,89.65,1.57
222,8CsxZnxCO3c7mBQE1zkwbw,0.02,0.0,0.0,0.01,0.11,0.15,0.27,0.0,13.75,1.44
223,8e3JXrCbDsCEKmJ5iGD7tQ,0.03,0.0,0.0,0.01,0.13,0.12,0.0,0.0,9.31,1.54
224,8ftcDWaO_6oQkGDEey7vRA,0.05,0.0,0.0,0.02,0.05,0.26,0.17,0.0,7.64,0.87
225,8HVYLZ4tnXcs3VcigrpE1A,0.01,0.0,0.0,0.09,0.01,0.06,0.29,0.0,9.42,5.09
226,8l6ZPEzipCwH3FrEgTpjQg,0.06,0.0,0.0,0.01,0.08,0.14,0.25,0.0,4.18,2.1
227,8LnbiBYSOaOgbVYQXXMl7Q,0.03,0.0,0.0,0.04,0.07,0.15,0.03,0.0,12.56,1.41
228,8lqZgi5L7zohz2ranpz-ZA,0.03,0.0,0.0,0.03,0.04,0.07,0.04,0.0,8.94,2.82
229,8LWbypMbAxc45gmdT3RLUg,0.0,0.0,0.0,0.04,0.12,0.16,0.01,0.0,57.33,1.78
230,8Mg5Vnt3F2LkD-ahSqS5MQ,0.01,0.0,0.0,0.01,0.03,0.11,0.34,0.0,45.88,1.21
231,8OqYEDPOTM6Zk76wV16-iw,0.0,0.0,0.0,0.02,0.12,0.23,0.07,0.0,98.22,0.72
232,8pcguVQpxRMikWptAhcM8w,0.03,0.0,0.0,0.05,0.13,0.08,0.15,0.0,10.76,1.43
233,8r0m0wWMJ0ntbYHeCBhAkA,0.09,0.0,0.0,0.02,0.03,0.24,0.14,0.0,3.59,1.16
234,8S3usuKdZiCDHu0O0vdMhw,0.01,0.0,0.0,0.06,0.01,0.22,0.31,0.0,26.05,1.99
235,8sR5KCs6bhXzsX1_HbRXQg,0.06,0.0,0.0,0.01,0.06,0.03,0.04,0.0,6.02,1.75
236,8Tl09rx8cm7BEliqqfwbsw,0.01,0.0,0.0,0.01,0.09,0.07,0.21,0.0,27.82,1.52
237,8VAO672V1lWo9mcE7gZYfA,0.04,0.0,0.0,0.02,0.08,0.19,0.02,0.0,6.75,1.58
238,8VI8pEQTbw77MHcxyNTTdg,0.08,0.0,0.0,0.07,0.01,0.1,0.26,0.0,1.77,3.97
239,8VOvJPn3x5Pdqi9m3biZdQ,0.06,0.0,0.0,0.01,0.0,0.16,0.44,0.0,4.74,2.07
240,8VqL8mBA_mN8cgQ3dNdlnA,0.08,0.0,0.0,0.01,0.14,0.06,0.16,0.0,3.44,2.23
241,8Vy9TdGdagQEIKSTTigXFw,0.02,0.0,0.0,0.03,0.11,0.15,0.16,0.0,20.9,1.24
242,8vYhJQlO93x0lbXkF62ZRg,0.06,0.0,0.0,0.15,0.02,0.27,0.04,0.0,4.99,0.87
243,8xBX7Fvl5GPs9LrQp3-Cqw,0.01,0.0,0.0,0.04,0.02,0.11,0.28,0.0,41.92,1.81
244,8xyxnOC508kBKjfmSyeC_A,0.03,0.0,0.0,0.05,0.08,0.16,0.04,0.0,10.71,1.75
245,8ZstxjwXts7fDfmRr8jvJQ,0.01,0.0,0.0,0.06,0.1,0.05,0.17,0.0,27.74,1.4
246,90GIjLT3B1hhXzLb70Nz9A,0.01,0.0,0.0,0.0,0.04,0.05,0.66,0.0,15.95,2.9
247,91KccNc_to2oE0tlgc6yLQ,0.1,0.0,0.0,0.07,0.09,0.21,0.15,0.0,2.61,1.63
248,91_EynVAyWR-Sp1sbT6NLA,0.2,0.0,0.0,0.01,0.0,0.17,0.29,0.0,0.72,4.12
249,92tscIYyqIp1GOfHcuXr4w,0.01,0.0,0.0,0.07,0.04,0.14,0.17,0.0,30.58,1.36
250,962P-Ujh0U9DdYl_TsopOw,0.01,0.0,0.0,0.13,0.07,0.06,0.11,0.0,13.18,3.13
251,96cEMsh7YRJQMzrAw_1UpA,0.01,0.0,0.0,0.0,0.03,0.2,0.3,0.0,43.73,1.6
252,99j8NtivD7QpXWf5FVcOpA,0.09,0.0,0.0,0.16,0.04,0.04,0.02,0.0,1.16,3.6
253,9aXgyXCgc05L2IZQTbH3Sg,0.01,0.0,0.0,0.05,0.02,0.22,0.31,0.0,22.51,2.07
254,9az9dp_1ZupQST389kg3Rw,0.04,0.0,0.0,0.03,0.1,0.15,0.33,0.0,8.31,1.7
255,9bDQGWExpX28HQA0jaqE5Q,0.01,0.0,0.0,0.03,0.04,0.26,0.2,0.0,29.65,1.34
256,9DblJ0kDoGB6UUtii4p9BQ,0.0,0.0,0.0,0.02,0.04,0.31,0.17,0.0,108.48,1.06
257,9GiDhpjt5GwZ6Fnyf8E4Gg,0.01,0.0,0.0,0.06,0.01,0.22,0.02,0.0,20.08,1.18
258,9icd2d--PaIm8eT8uIdFZw,0.03,0.0,0.0,0.05,0.02,0.27,0.1,0.0,10.83,1.04
259,9luWrwGwcCF8l8lIFlrLEQ,0.03,0.0,0.0,0.02,0.04,0.19,0.1,0.0,12.96,0.94
260,9MUQeL5Dvemnf-Yu58ebtQ,0.0,0.0,0.0,0.11,0.0,0.17,0.4,0.0,26.89,5.84
261,9nohkfpCmv4QASPtt3D3jw,0.05,0.0,0.0,0.02,0.08,0.15,0.39,0.0,5.65,2.2
262,9O8UnZx4gs7SdGt00e6PTQ,0.2,0.0,0.0,0.0,0.04,0.24,0.3,0.0,1.1,2.25
263,9Q9UF283-fMLk7BRkJqJ4g,0.36,0.0,0.0,0.06,0.0,0.09,0.01,0.0,0.97,1.08
264,9qQC55FS-pzInTH9mgsDUQ,0.08,0.0,0.0,0.1,0.01,0.23,0.0,0.0,2.18,2.48
265,9RifhDo-CQ3WT13FHFqgZA,0.01,0.0,0.0,0.08,0.11,0.11,0.12,0.0,36.7,1.53
266,9RJFSrLTpU7WASfiYz2zkA,0.12,0.0,0.0,0.03,0.08,0.33,0.17,0.0,1.86,1.82
267,9SIGj-TrwxBiF8G8J4Z9pw,0.05,0.0,0.0,0.01,0.05,0.24,0.05,0.0,6.06,1.29
268,9vO2lySL6aWCchL4K5vyPg,0.0,0.0,0.0,0.04,0.1,0.12,0.06,0.0,103.03,2.28
269,9vUIaTdBXG5pxjDzuTWc6Q,0.11,0.0,0.0,0.12,0.08,0.07,0.04,0.0,1.71,3.28
270,9xeq6e66tybe0G0UH6tyNQ,0.03,0.0,0.0,0.01,0.01,0.12,0.48,0.0,11.36,1.7
271,9XsdXL1GCNP84WgILxOcEQ,0.03,0.0,0.0,0.08,0.08,0.27,0.11,0.0,11.1,0.89
272,9XxyOFL52ct-dh3zWcrhCg,0.28,0.0,0.0,0.0,0.0,0.26,0.03,0.0,0.92,1.64
273,9Yjy_fsV3_S7GrzB-0FnTA,0.01,0.0,0.0,0.01,0.03,0.24,0.36,0.0,33.03,2.29
274,9_CuIvOo5iSYz3atFCmeMw,0.02,0.0,0.0,0.05,0.12,0.23,0.07,0.0,24.74,0.92
275,A2P97lYWp5J8Hoomc66htA,0.05,0.0,0.0,0.02,0.01,0.36,0.16,0.0,6.81,0.68
276,a3lUBYiniq7qCr8cpDVi-A,0.0,0.0,0.0,0.01,0.18,0.11,0.18,0.0,878.94,1.74
277,A3tKOHz0CXhqc5YQB4jY-g,0.1,0.0,0.0,0.0,0.07,0.08,0.59,0.0,0.72,10.51
278,A4DfTcojleslutypyuFciw,0.01,0.0,0.0,0.05,0.07,0.09,0.45,0.0,44.91,2.42
279,a4XliQ8GpDs4ahOicTXcqw,0.07,0.0,0.0,0.06,0.01,0.27,0.22,0.0,3.39,1.31
280,a5hJWGRcf_iA1C5EYSwO0A,0.07,0.0,0.0,0.0,0.06,0.25,0.02,0.0,4.82,1.07
281,a7SFbOXgJTWYkgZrUrkL2g,0.0,0.0,0.0,0.02,0.11,0.1,0.06,0.0,365.74,1.34
282,A9kequGJRAszniK9kMzAxA,0.17,0.0,0.01,0.02,0.11,0.23,0.04,0.0,1.89,1.05
283,AAen5rQ27WytSrKDvAFp1Q,0.09,0.0,0.0,0.0,0.1,0.19,0.12,0.0,3.03,1.78
284,aA_2WxxXjX9xaIHifxhURA,0.02,0.0,0.0,0.06,0.03,0.16,0.26,0.0,16.67,2.02
285,aBqGPybYKVUWOGaC1RahoA,0.03,0.0,0.0,0.09,0.08,0.12,0.15,0.0,5.97,2.74
286,aBvB-_0Su8v7JfUB9eScpg,0.05,0.0,0.01,0.04,0.0,0.28,0.25,0.0,6.24,1.0
287,ac2rTpDXWaa18O8-jXnNbA,0.01,0.0,0.0,0.02,0.09,0.11,0.08,0.0,41.39,1.14
288,ac6gLL6Z43NV7Cohz5U7Bw,0.01,0.0,0.0,0.08,0.03,0.26,0.01,0.0,38.76,0.86
289,ACEmiqJV6vBINnicozlD8g,0.04,0.0,0.01,0.03,0.02,0.24,0.3,0.0,7.61,1.25
290,ACFeTiT9trsqX2ZUfK_6DA,0.02,0.0,0.0,0.08,0.03,0.17,0.2,0.0,11.05,1.63
291,ACgQGs5AX_i-e_Zk6GVw4A,0.12,0.0,0.0,0.0,0.04,0.16,0.47,0.0,1.42,3.88
292,adxi2W02fx3lG1Blhr6LfQ,0.01,0.0,0.0,0.0,0.01,0.31,0.24,0.0,34.66,0.72
293,afNDstjMdl2hozb-57J_HA,0.1,0.0,0.0,0.15,0.01,0.16,0.13,0.0,2.33,1.96
294,Afql_HoWjJyudc-fvw0OAw,0.02,0.0,0.0,0.04,0.06,0.22,0.15,0.0,17.24,0.9
295,agpe01_nZIPsiMsdOYX9HA,0.05,0.0,0.0,0.02,0.09,0.24,0.03,0.0,6.78,1.12
296,ah0EcbaJOw2W_jhBTHS-8A,0.07,0.0,0.0,0.01,0.05,0.25,0.41,0.0,3.99,1.77
297,ahGkN1MSInkOyFsJSMZM0A,0.04,0.0,0.0,0.1,0.04,0.11,0.26,0.0,5.5,2.52
298,AImPmh6COBMbH_aICmqSfg,0.0,0.0,0.0,0.1,0.11,0.07,0.06,0.0,5430.98,1.33
299,aJ2KzHMm51C2GlkhqTtPKg,0.05,0.0,0.0,0.01,0.05,0.22,0.29,0.0,7.7,1.21
300,ajYcvyLCj4sEnXcC_Qd6Lw,0.01,0.0,0.0,0.04,0.09,0.07,0.01,0.0,44.27,1.64
301,alV6-64vWhJHg1xdB3RO3g,0.04,0.0,0.0,0.02,0.01,0.2,0.38,0.0,6.95,1.69
302,ALY60Larz3gsz52VKwdDaw,0.07,0.0,0.0,0.03,0.02,0.37,0.02,0.0,5.09,0.59
303,AmQ4U5u0njcg3g97rsWH1A,0.05,0.0,0.0,0.04,0.07,0.19,0.07,0.0,6.83,1.15
304,AMqgkMD7EZpD7pTPqzuZQA,0.0,0.0,0.0,0.06,0.07,0.08,0.05,0.0,259.25,1.91
305,AMUnMCT_O09npqbMd2rtwA,0.03,0.0,0.0,0.01,0.02,0.28,0.15,0.0,14.3,0.84
306,ANUYJ17BZ6iGzZJrwmtEwA,0.02,0.0,0.0,0.01,0.03,0.29,0.23,0.0,20.4,0.99
307,aoPyJJ5n7Csg_g8-Sr8dfA,0.01,0.0,0.0,0.02,0.01,0.28,0.08,0.0,76.19,0.62
308,aPWx7NwwnYjcnQAZmm9jsQ,0.03,0.0,0.0,0.01,0.03,0.28,0.08,0.0,14.87,0.75
309,AqlvxD17GuhiIHMsNJhACg,0.02,0.0,0.0,0.05,0.01,0.33,0.01,0.0,19.51,0.83
310,aQuTjDasyqr4WeyPfFR68A,0.0,0.0,0.0,0.05,0.17,0.11,0.25,0.0,379.66,1.02
311,atpm_N5i5xEvRUE56cIgVQ,0.0,0.0,0.0,0.07,0.13,0.05,0.0,0.0,161.36,1.83
312,AtWZXKzrAFJYtCtAbnAa4Q,0.01,0.0,0.0,0.03,0.1,0.01,0.28,0.0,28.59,1.92
313,AuLMuVMbHwV_j1yzJW0e-Q,0.02,0.0,0.0,0.12,0.06,0.07,0.02,0.0,10.75,2.82
314,aV68JfTQi36t2rtup6H9Ug,0.0,0.0,0.0,0.01,0.05,0.09,0.24,0.0,383.5,2.05
315,Av6vnMvXTryRr5e_oThM3g,0.0,0.0,0.0,0.06,0.08,0.08,0.03,0.0,86.49,1.95
316,aw8JDlHMXjjdCclDbNrYOg,0.25,0.0,0.0,0.01,0.01,0.25,0.06,0.0,1.08,1.42
317,AW8WXoUx_43IquAAlWbQmg,0.09,0.0,0.0,0.01,0.1,0.19,0.0,0.0,2.95,1.94
318,awJeLx8NUcGVo-kgw0mycw,0.01,0.0,0.0,0.07,0.02,0.05,0.0,0.0,23.59,1.64
319,aX6OhetPUakJAtLtZaOS9w,0.03,0.0,0.0,0.03,0.09,0.18,0.06,0.0,11.96,1.2
320,AY6_eNNvqWHUFcNB6o1dSQ,0.02,0.0,0.0,0.03,0.08,0.17,0.17,0.0,16.97,1.02
321,AyWUx1WtDpFttCza2YDAvQ,0.07,0.0,0.0,0.06,0.0,0.31,0.31,0.0,2.81,2.04
322,AZkCXyAPFKHnpaoOhuPIxw,0.15,0.0,0.0,0.13,0.0,0.29,0.07,0.0,0.79,3.72
