_Collision Id,Borough Name,Borough Number,Easting,Northing,_Vehicle Id,Vehicle Type Banded,Vehicle Type,Vehicle Manoeuvres,Vehicle Skidding and Overturning,Vehicle Restricted Lane,Location of Vehicle at First Impact,Vehicle Hit Object in Carriageway,Vehicle Leaving Carriageway,Vehicle Hit Object Off Carriageway,First Point of Impact,Journey Purpose,Driver Gender,Driver Age,Driver age (Banded)
1220386619,Newham,17,541777,181705,2,Car,Car,Going Ahead Held Up,No Skidding/Overturn,On Main CW - Not Rest.,Entering R'about,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,26,25-34
1220386629,Richmond-Upon-Thames,24,514051,172434,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Leaving Main Rd,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,54,35-64
1220386633,Enfield,32,532357,197328,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,Hit Parked Veh,Did Not Leave,None,Front Hit First,Unknown,Male,21,17-24
1220386647,Bexley,18,545988,170910,1,Car,Car,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Entering R'about,None,Did Not Leave,None,Front Hit First,Unknown,Male,45,35-64
1220386650,Enfield,32,533256,196584,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Unknown (S/R),None,Did Not Leave,None,Front Hit First,Unknown,Female,39,35-64
1220386651,Havering,15,549380,189063,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Male,33,25-34
1220386661,Croydon,20,531958,166667,1,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Not At Jct,Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Unknown,Male,54,35-64
1220386664,Hounslow,25,516392,178770,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Unknown,Male,24,17-24
1220386668,Bromley,19,546305,165507,1,Car,Car,Going Ahead Left Bend,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Left Cwy Offside,Hit Tree,Front Hit First,Other/Not Known,Male,43,35-64
1220386673,Westminster,1,524067,182419,1,Car,Car,Going Ahead Other,Skidded,On Main CW - Not Rest.,Not At Jct,Hit Parked Veh,Did Not Leave,None,Front Hit First,Unknown,Female,27,25-34
1220386676,Kensington & Chelsea,12,528034,178498,1,Bus Or Coach,London Bus,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,53,35-64
1220386679,Richmond-Upon-Thames,24,519353,175732,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,45,35-64
1220386687,Sutton,21,525634,166224,1,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Comm To/From Work,Female,45,35-64
1220386704,Greenwich,6,541461,174542,1,Car,Car,Going Ahead Other,No Skidding/Overturn,Footway,Leaving Main Rd,Hit Kerb,Did Not Leave,None,Front Hit First,Unknown,Male,83,65+
1220386713,Bexley,18,551696,176557,1,Car,Car,Going Ahead Other,No Skidding/Overturn,Footway,Jct Cleared,None,Did Not Leave,None,Front Hit First,Unknown,Male,45,35-64
1220386729,Wandsworth,10,522694,174994,1,Car,Car,Going Ahead Left Bend,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,Hit Oth Object,Left Cwy Nearside,Wall Or Fence,Front Hit First,Comm To/From Work,Female,45,35-64
1220386743,Lewisham,7,539382,173712,2,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,34,25-34
1220386745,Ealing,27,512999,184188,1,Car,Car,Waiting To Turn Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,69,65+
1220386766,Croydon,20,530800,160369,1,Goods Vehicle,GDS =< 3.5T,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,27,25-34
