,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
80,TFwEaM3DqAnRSXs7H3zzhg,0.0,0.0,0.0,0.01,0.23,0.0,0.17,0.21,0.0,0.2,0.01,0.14,0.0
81,Iyd44G6Ej4WFKYAtKHUi8A,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.18,0.0,0.08,0.0,0.01,0.0
82,GHeJflF6BBycDeA9HMqswA,0.0,0.0,0.0,0.21,0.31,0.0,0.16,0.02,0.0,0.13,0.0,0.16,0.0
83,33clMIW9l1i1EEW0_XfMbw,0.0,0.0,0.0,0.11,0.32,0.0,0.25,0.02,0.0,0.03,0.01,0.24,0.0
84,RdrLi3dsfjdWwM-HAikbnQ,0.0,0.0,0.0,0.01,0.17,0.0,0.17,0.09,0.01,0.16,0.05,0.22,0.0
85,Iyqroxkp-qE1dwksuNd4ZQ,0.01,0.0,0.0,0.02,0.31,0.0,0.28,0.09,0.04,0.04,0.0,0.2,0.0
86,swEd--21JA4ce2GVTSHWmg,0.0,0.0,0.0,0.01,0.26,0.0,0.22,0.1,0.0,0.04,0.03,0.29,0.0
87,0FGI7UhF4oolryBcGG_ptQ,0.0,0.0,0.0,0.05,0.34,0.0,0.22,0.07,0.0,0.03,0.01,0.26,0.0
88,DiO2Hk1wG7jgg4Dw2y8kyg,0.0,0.0,0.0,0.05,0.48,0.01,0.11,0.04,0.0,0.19,0.02,0.06,0.0
89,-aNwuVoLJ9TnXzShytallw,0.0,0.0,0.0,0.01,0.19,0.0,0.28,0.08,0.0,0.04,0.02,0.33,0.0
90,CAoSLEFGMVFpcE1GRGFoZVBXU1hmb01FXzVydE9DVjVZRmt6cEtmMG9JRHNFTVRx,0.01,0.0,0.04,0.01,0.34,0.0,0.2,0.12,0.05,0.12,0.0,0.07,0.0
91,P84BkpgmkqTSu_nQju-PPQ,0.0,0.0,0.0,0.03,0.37,0.0,0.22,0.11,0.0,0.05,0.0,0.16,0.0
92,Tt6LhCu1ZbkEnTZCAxP9Sg,0.01,0.0,0.0,0.01,0.3,0.0,0.16,0.14,0.01,0.01,0.0,0.36,0.01
93,gH-mJ5ZvLdcQpi_NhFjtxg,0.0,0.0,0.0,0.05,0.28,0.0,0.21,0.1,0.01,0.22,0.0,0.1,0.0
94,CAoSLEFGMVFpcE1kQUNaZjhOZWFmUG5XYjl6Z2V2b1gwVmx0dlg4bnRybXB6Mkp6,0.0,0.0,0.0,0.01,0.19,0.0,0.35,0.04,0.01,0.16,0.03,0.17,0.0
95,iulGxEtQNYl6C4w5mOkJ2g,0.01,0.0,0.0,0.03,0.49,0.0,0.21,0.11,0.0,0.02,0.0,0.11,0.0
96,nBprqdJCEjMkH1mkEhg9Fg,0.0,0.0,0.0,0.02,0.12,0.0,0.25,0.05,0.0,0.34,0.07,0.12,0.0
97,N2QvsfNlIyzzy-07fnfyEg,0.0,0.0,0.0,0.02,0.08,0.0,0.1,0.01,0.0,0.21,0.36,0.18,0.0
98,uV3M4aEiBGsKmscLAzBb1w,0.0,0.0,0.0,0.01,0.46,0.0,0.32,0.06,0.0,0.0,0.0,0.15,0.0
99,-WbIPrDN-p_BR3qlk38oGA,0.0,0.0,0.0,0.09,0.33,0.0,0.26,0.07,0.01,0.12,0.0,0.11,0.0
100,6ebQVJMzubM1v0hnwlEVBQ,0.0,0.0,0.0,0.0,0.26,0.0,0.17,0.0,0.03,0.02,0.07,0.3,0.0
101,71PGPmyu-4oaadueZz-_6A,0.0,0.0,0.0,0.02,0.61,0.0,0.16,0.13,0.0,0.03,0.01,0.03,0.0
102,v05J7OiVXtjyKGAGAClGVw,0.0,0.0,0.0,0.0,0.08,0.0,0.21,0.12,0.01,0.31,0.06,0.16,0.0
103,oj9N5AQAdHlMgtf6qqgIUw,0.0,0.0,0.0,0.06,0.32,0.0,0.26,0.05,0.02,0.1,0.03,0.14,0.0
104,5YLjEZRFt13wx8rvjeZeXA,0.0,0.0,0.0,0.0,0.37,0.0,0.19,0.11,0.0,0.03,0.07,0.19,0.0
105,qPWYGnIoyEFd-RqD2MD77Q,0.0,0.0,0.0,0.0,0.14,0.0,0.07,0.16,0.01,0.32,0.05,0.1,0.02
106,ncs2jzMWfdo_eySp79VGDg,0.0,0.0,0.0,0.01,0.12,0.0,0.27,0.04,0.0,0.18,0.08,0.23,0.0
107,8yQTBxRuK6KIUWupUBO3rQ,0.0,0.0,0.0,0.04,0.63,0.0,0.16,0.09,0.03,0.0,0.0,0.02,0.0
108,5s5UPkTLIrXwY8evkLr-sA,0.0,0.0,0.0,0.0,0.1,0.0,0.32,0.06,0.01,0.22,0.08,0.2,0.0
109,0alWN44c-xBGYVTXSCZsMw,0.0,0.0,0.0,0.09,0.6,0.0,0.15,0.06,0.01,0.02,0.01,0.04,0.0
110,U-STRrNSR4bLR1ZitQjKQQ,0.0,0.0,0.0,0.01,0.34,0.0,0.26,0.07,0.0,0.02,0.0,0.24,0.0
111,KCYEMmqoGnZa-pcv9bWP2g,0.0,0.0,0.0,0.01,0.08,0.0,0.21,0.03,0.0,0.33,0.14,0.15,0.0
112,0zdtOd-vtmjcL4bxH1woyw,0.03,0.01,0.01,0.01,0.63,0.03,0.16,0.11,0.0,0.01,0.0,0.01,0.0
113,6FeKUfyY2urb638MsP1uBQ,0.0,0.0,0.0,0.13,0.44,0.0,0.18,0.03,0.0,0.04,0.06,0.11,0.0
114,FQCKohSascJcFQtz4e4WvA,0.0,0.0,0.0,0.02,0.1,0.0,0.3,0.03,0.0,0.12,0.09,0.32,0.0
115,dUs39o6h-9JKbiHMLkN1YA,0.02,0.0,0.0,0.05,0.43,0.0,0.23,0.1,0.03,0.02,0.0,0.11,0.0
116,gs-0D8cYuBtMHh1AsCMYUg,0.01,0.0,0.0,0.07,0.21,0.0,0.16,0.08,0.0,0.31,0.05,0.1,0.0
117,FSwiErrgEBJD-J-XXB4FwA,0.0,0.0,0.0,0.01,0.27,0.0,0.26,0.01,0.01,0.01,0.01,0.26,0.0
118,Rheh7qeXgovKw-PsFi8CWQ,0.0,0.0,0.0,0.09,0.31,0.0,0.12,0.01,0.0,0.12,0.02,0.16,0.0
119,mV4NaQDJk7bJKq54fZpD6g,0.0,0.0,0.0,0.05,0.42,0.0,0.24,0.04,0.0,0.06,0.0,0.15,0.0
120,IAJT_GadUjCDkoR04HSC-w,0.0,0.0,0.0,0.08,0.34,0.0,0.19,0.14,0.03,0.02,0.0,0.18,0.0
121,F943ErSmAHe_oNweyqWcpA,0.0,0.0,0.0,0.01,0.06,0.0,0.22,0.02,0.0,0.43,0.1,0.1,0.0
122,k0kopQ1bA49cIZLyVR-uOw,0.0,0.0,0.0,0.04,0.25,0.0,0.28,0.02,0.01,0.18,0.05,0.14,0.0
123,aibfc1z5Y5ZbLWuEcK7Ieg,0.0,0.0,0.0,0.08,0.24,0.0,0.29,0.02,0.0,0.03,0.02,0.3,0.01
124,0Kq3_otq_1rEfD7GtBkdSw,0.0,0.0,0.0,0.09,0.18,0.0,0.2,0.07,0.01,0.28,0.04,0.12,0.0
125,HwD4fhJz4fZ4bQnWPUsX0A,0.0,0.0,0.0,0.01,0.04,0.0,0.2,0.03,0.01,0.26,0.17,0.27,0.0
126,0sGdX3bEo6q0gmpICscAzQ,0.0,0.0,0.01,0.04,0.0,0.0,0.22,0.01,0.0,0.41,0.1,0.19,0.0
127,WV_UQHf5oodXa4f8vf_ilg,0.0,0.0,0.0,0.0,0.18,0.0,0.27,0.1,0.0,0.31,0.06,0.07,0.0
128,vpqUTZ2BFc5k64PxCuo3uA,0.0,0.0,0.0,0.06,0.23,0.0,0.17,0.03,0.0,0.1,0.14,0.23,0.0
129,kMlgBbFbsNgyoDPAHB09_g,0.0,0.0,0.0,0.01,0.1,0.0,0.2,0.1,0.0,0.27,0.11,0.18,0.01
130,y8kAs_vlA9uO4OhujCT3bQ,0.0,0.0,0.0,0.05,0.4,0.01,0.23,0.04,0.0,0.03,0.0,0.17,0.0
131,IxKxlyXHjZde8tBizi0GvQ,0.0,0.0,0.04,0.01,0.54,0.02,0.13,0.16,0.0,0.03,0.0,0.01,0.0
132,sEstn_-6hF8S0VlK1N98PA,0.0,0.0,0.0,0.09,0.28,0.0,0.22,0.04,0.0,0.02,0.04,0.27,0.0
133,3Xs1i6t-wsvSWQvkxC20CQ,0.0,0.0,0.0,0.03,0.34,0.0,0.23,0.1,0.01,0.02,0.0,0.23,0.0
