,_Collision Id,Easting,Northing,geometry,GSV_ID
69,1200233277,526254,182620,POINT (-0.1813590023607564 51.528384974540174),1HLwgBLAPAQ0tnmKoQfJeQ
70,1200233313,529430,177899,POINT (-0.1373316459092426 51.485240440363434),ryUnjF8evR1yhOrV1sM7OA
71,1200233319,526481,181016,POINT (-0.1786636302764684 51.513919262226814),7hUjNbrKeorITKsHp7YgWw
72,1200233394,528333,181736,POINT (-0.1517272030300557 51.51997247999263),2hG4wBa7zjmzd1TRF5mLyA
73,1200233444,528845,180567,POINT (-0.144778782929731 51.509350552631574),a8phujl8spTsqU__P02RyA
74,1200233635,528252,180901,POINT (-0.1531975503121527 51.512486912185544),CRcRnMM-akKf_DdV_ONDlw
75,1200233665,526485,182340,POINT (-0.1781312426462025 51.52581700399107),T6MN6vJ04CdnQXsy54vnCw
76,1200233796,528238,180521,POINT (-0.1535372687506951 51.50907511269588),2j5cYNkOuMzwWy03rLwivA
77,1200233848,526354,181830,POINT (-0.1802012929997402 51.521262988300734),QU1qvMZYU3KHlCXmwr4nVA
78,1200233852,528016,181186,POINT (-0.1564931692839195 51.5151016170177),rRmvg4cRKaiGuMSAkkPDgQ
79,1200233918,528901,179227,POINT (-0.1444615258411501 51.49729556266826),eDVKlwGnZeWs5rUHL1dQ9A
80,1200233958,528938,181985,POINT (-0.1429212148976218 51.52207252037531),1fMK2ibf-1bWNM1IAFW36w
81,1200234368,526106,179662,POINT (-0.1845486082908074 51.50183470192806),fJPFA1yq_riFAlgYmxWrvA
82,1200234414,527801,181464,POINT (-0.1594892099337418 51.517648578174125),0jnBdPRl40Af39Gg9dJocg
83,1200234537,526396,181405,POINT (-0.1797485478067536 51.51743417061206),qvXCvnkRqbAmpcCtlhz_Lw
84,1200234832,526779,180822,POINT (-0.1744411683256 51.51210907945189),oAicAoo9FioN5Ti6J8iNdg
85,1200235126,528048,180628,POINT (-0.1562347418690583 51.51007974576588),MbUSKqhR5WRZXMTjzt0xDw
86,1200235527,529615,180787,POINT (-0.1336088518837339 51.51115168755905),rPy7QTQH4YBdl-PxH-HO2w
87,1200235970,523861,182506,POINT (-0.2158775512930698 51.527889915147576),jlv4qtP6K5dBN7s7aXZ0Cg
88,1200235985,528962,181905,POINT (-0.1426047345030732 51.521348109946715),xOuObrbo045juGQBQwg1vQ
89,1200236103,528988,180393,POINT (-0.1427829528535978 51.507754268633576),6hpVjWzc19iR4zMC_hekFQ
90,1200236202,529917,181028,POINT (-0.1291707228896978 51.51324817646333),CAoSLEFGMVFpcE11YmFxNXR1eThvcS1OQ0J6WExZNXNSU25DTElZa3dxV0dROXRZ
91,1200236224,525484,183127,POINT (-0.192272616960613 51.53311282434775),KFbINdOvnoNW2XFhNR7LYA
92,1200236343,526457,179637,POINT (-0.1795033501130238 51.50153168248664),HpakjpB_5JD26CTCBwks-w
93,1200236770,528414,182096,POINT (-0.1504293269478546 51.52318931578991),hWfzX9T4bdptd22skqnurQ
94,1200236982,524663,182875,POINT (-0.2041919411032301 51.5310298055166),59HjELU5o_i_P47dCXzYYw
95,1200237355,526885,183209,POINT (-0.1720556766592881 51.533536921981714),gsYouUcihhjpk5yJdbI6yw
96,1200237500,529513,180649,POINT (-0.1351285027705665 51.50993489286576),CAoSLEFGMVFpcE5LbUVRZ2lGVnRQRG1RU1JCTU9ab0JxM1U0d2l3ZkpWN1RpaDJj
97,1200237521,529616,180766,POINT (-0.1336021628822219 51.51096273824778),Hq0X6uZmc_BkgP9NHXCidw
98,1200237529,527244,181502,POINT (-0.1674987164100025 51.51811569919251),QlQ2d942HVZogB_jjTHA5A
99,1200237644,530155,179796,POINT (-0.126197189607457 51.502121910777056),MVuLcdUFB72LsdpJhgl-EA
100,1200237802,529644,180817,POINT (-0.1331801722414119 51.511414640661876),dSurZUeRm1HsAQue9sNMIg
101,1200238045,527573,181165,POINT (-0.1628815104374178 51.51501300869163),8LgoUABrZYY47x8ee0EZyQ
102,1200238097,526112,181047,POINT (-0.1839673653856465 51.51428026651677),wJOf4VE1sjsqWEBCXF_6Ww
103,1200238211,526434,181206,POINT (-0.1792724987759606 51.51563728285685),jB-B98X3TdPrrmGO2FPIfw
104,1200238463,526331,181813,POINT (-0.1805387106387362 51.52111535095462),sPFTwlJP26u2Kpt9_vr0WA
105,1200238662,529893,181089,POINT (-0.1294939308401922 51.51380187507603),YFc6IQXriNYthoTWjHPygA
106,1200238689,527694,181040,POINT (-0.1611839295595589 51.51386234724084),T0H8dknA_-aX8_s2hxn87Q
107,1200238710,528362,179757,POINT (-0.1520292839656614 51.50218108919837),EPsVeJ4CDNy_JalSEwdgzA
108,1200238943,529358,181189,POINT (-0.1371628056847295 51.51482317757254),__W_qBPmeYTTSw7mHQ_Ahg
109,1200238959,527642,182343,POINT (-0.1614613737947541 51.52558388982259),Or3cyaHZv8R10-nKZKr5FQ
110,1200239006,525241,181564,POINT (-0.1963292750577777 51.5191201050848),sDbZynDCXEMWGpjwUwBNxA
111,1200239232,527799,181861,POINT (-0.1593741815631256 51.52121678632795),hRwww2meWFaoWu3CFQuK-w
112,1200239252,527984,180730,POINT (-0.1571194715820659 51.511010884686215),ErTcOnZmRBxQzrgd-e-QiA
113,1200240335,526480,181013,POINT (-0.1786791088957971 51.51389252519584),7hUjNbrKeorITKsHp7YgWw
114,1200240523,527603,181304,POINT (-0.1623991334967414 51.516255406784495),YTYnnAtmlyALmf7qP3jI1w
115,1200240703,526906,183177,POINT (-0.1717646015081371 51.5332446278442),dTMfpboqDfa31PNBO-KVWw
116,1200241092,527786,181900,POINT (-0.1595473216076423 51.52157020958278),7-QOVyGZeKwbSSNN6ghjqA
117,1200241358,527432,181306,POINT (-0.1648614746464084 51.516311942917405),Hoy5ZFVIO1mf5frDKOhg5w
118,1200241537,527061,181688,POINT (-0.1700677431417413 51.519828405604784),Qi7KFcjFve29HmlOFKbZVw
119,1200241542,527447,183367,POINT (-0.1639004902983428 51.53483036960779),dgoCkmC0_v-3n0QZD_5Sug
120,1200241560,527931,181960,POINT (-0.1574367594519873 51.522076623384876),YQCGaPu60S6HtDQVvQqluw
121,1200241569,528176,181227,POINT (-0.1541737242985103 51.51543383051534),bBEduSs7f7ja0rMqGhU0fg
122,1200241615,528604,181820,POINT (-0.1477928410215649 51.52066578764593),dFH36RKuXPYHwaVJF32ahA
123,1200241918,527125,180375,POINT (-0.1696188716494461 51.50801428545546),MLGfC2JE9oyOedAEibfMRg
124,1200241971,528938,179317,POINT (-0.1438959520603986 51.4980959397843),8CisC1LXud4ZVuTYAza2wg
125,1200241990,526349,182269,POINT (-0.1801160382682278 51.525209350198836),WT_NWX7P7_zGO3j_uggS8Q
